id,text,label,emoji,tag
1,great way to start of the day,1,,
2,gotta go back to work tonight,0,,
3,a romantic candlelit dinner for two would cost less if you switched the lights on <allcaps> eskom </allcaps> pic from the <number> ' s <url>,1,,"<url>,</allcaps>,<allcaps>,<number>"
4,lol drunk mom on christmas is so fun . <repeated> <hashtag> this is a disaster </hashtag> ☺ 🔫 🍸,1,"🔫,☺","<hashtag>,</hashtag>,<repeated>"
5,<user> few politicians get importance of patient dignity and right to die <url>,1,,"<url>,<user>"
6,<user> gerrymandering neither party will give up . it is not hard to be an informed voter . <hashtag> ferguson </hashtag>,0,,"<hashtag>,</hashtag>,<user>"
7,<user> and this is a warmly ment from me to you ! <happy>,0,,"<happy>,<user>"
8,my current christmas song obsession . played it non stop all weekend <url> via <user>,1,,"<url>,<user>"
9,lol ! i m enjoying it 👭 <hashtag> talks </hashtag> <hashtag> crazyness </hashtag> <hashtag> she never left </hashtag> sleepy ! <repeated> ☺,0,☺,"<hashtag>,</hashtag>,<repeated>"
10,left my lunch at home . swansea canteen outdoing themselves with this generous and well priced portion of food <url>,1,,<url>
11,<user> nice . we make it in a pot with butter and himalayan salt . sometimes with infused salts for a change .,0,,<user>
12,do you want more period related post or do you like how i post some personal things here on instagram ? <url>,0,,<url>
13,<user> that ' ll work . <repeated> <hashtag> hell be firedin eleven months </hashtag>,1,,"<hashtag>,</hashtag>,<repeated>,<user>"
14,on the other hand condolences to <user> and <user> for the draw . <repeated>,0,,"<repeated>,<user>"
15,<user> <user> what the hell ever .,0,,<user>
16,<user> . <user> considering a run for the <user> <url> <hashtag> 5 things </hashtag> <url> <shocking> < >,1,,"<hashtag>,<url>,</hashtag>,<user>"
17,that was one long walk 👌 👌 👌 <hashtag> go me </hashtag> <url>,0,👌,"<hashtag>,<url>,</hashtag>"
18,<allcaps> mama </allcaps> a korean awards show that will be held in hong kong and will be headlined by an american artist,1,,"</allcaps>,<allcaps>"
19,<user> <user> journalism at its best,1,,<user>
20,you know you love an author when you figure out how a book ends long before it does but can not wait to see how the author actually ends it,0,,
21,"its not that so much as his lies and deceit , <user> <user> <user> <user> <user>",0,,<user>
22,can anyone tell iv been uploading items onto depop today lol <hashtag> lots of depop uploaded </hashtag>,1,,"<hashtag>,</hashtag>"
23,jusuf nurkic <hashtag> bulls </hashtag> rt <user> he clearly has a lot of talent . kind of amazing that denver got him and gary harris for mcdermott .,0,,"<hashtag>,</hashtag>,<user>"
24,<user> why are you so beautiful ? ! <repeated>,0,,"<repeated>,<user>"
25,<user> the wind is your friend <url>,0,,"<url>,<user>"
26,"<user> <user> it ' s ok kev , gurney ' s bowling the next over",1,,<user>
27,that moment when <hashtag> baby boomer </hashtag> next to you philosophize about the lacking <hashtag> communication </hashtag> skills of <hashtag> generation y </hashtag> > <hashtag> new way to communicate </hashtag>,1,,"<hashtag>,</hashtag>"
28,me when i think i can do a cartwheel ! <url>,1,,<url>
29,"<user> not surprised , it was epic .",0,,<user>
30,"the silence in <hashtag> times square </hashtag> for <hashtag> eric garner </hashtag> last night is only broken by <hashtag> nypd </hashtag> siren . , watch on ifuss <elongated> app . <url>",1,,"<hashtag>,<url>,</hashtag>,<elongated>"
31,patrick kielty hosting radio <number> ' s comedy awards . <repeated>,1,,"<number>,<repeated>"
32,<number> return flight . why i love my family . <hashtag> family vacation </hashtag>,1,,"<hashtag>,<number>,</hashtag>"
33,why do i have to have a good game then a bad game and then a good game then a bad game again . 😑 😡,0,"😡,😑",
34,the grinch stole my sanity <url> via <user> <hashtag> lol </hashtag> <hashtag> fun </hashtag> <hashtag> funny </hashtag> <url>,1,,"<hashtag>,<url>,</hashtag>,<user>"
35,"alright you all , back to binge watching legend of korra like a muthafukn gangster .",0,,
36,my favorite color is every color .,0,,
37,is too complex a word for him to understand <user> <user> <user>,0,,<user>
38,why everything must b turned into a disaster to avenge another disaster ? what ' s so gratifying in forgetting tht we all are humans / pakistanis ?,0,,
39,"come on , it ' s lovely weather for a sleigh ride together with ewe . <url>",0,,<url>
40,platoon strategy ain ' t so bad . i mean we are a <number> line army . <hashtag> mets </hashtag>,1,,"<hashtag>,<number>,</hashtag>"
41,<user> <user> i believe we have n that ' s y we <allcaps> suck </allcaps> .,0,,"</allcaps>,<allcaps>,<user>"
42,<hashtag> bit </hashtag> <hashtag> chair </hashtag> <hashtag> comfy </hashtag> <hashtag> mind </hashtag> <hashtag> nope </hashtag> <hashtag> ikea </hashtag> <hashtag> decor </hashtag> please rt <url> <url>,0,,"<hashtag>,<url>,</hashtag>"
43,this link will be relevant in a couple of days . <url>,0,,<url>
44,"thanks mom for all those lovely words , you just love to let me know how proud you are of me <hashtag> words hurt </hashtag>",1,,"<hashtag>,</hashtag>"
45,this is a great time for me not to be feeling well . <repeated> 😒,1,😒,<repeated>
46,"i ate too much . <repeated> meal , i am not even done with desserts !",0,,<repeated>
47,<user> <user> me and cam newton will be engaged by the end of this year just wait on it lmao <allcaps> byyer foolisha </allcaps> < < good night,0,,"</allcaps>,<allcaps>,<user>"
48,"<user> aww bless ya . enjoy your break babe , yeah it was great thanks . <repeated> finally recovering from it . how ' s ya tash going ? 😘",0,😘,"<repeated>,<user>"
49,<user> <allcaps> lool </allcaps> from the guy with multiple twitter handles,1,,"</allcaps>,<allcaps>,<user>"
50,nothing better than getting a snapchat from <user> with <hashtag> the </hashtag> weight playing in the background <hashtag> same parents </hashtag> <hashtag> same tunes </hashtag>,0,,"<hashtag>,</hashtag>,<user>"
51,isabelle sends me the nicest texts 😣 😖 💔,1,"😖,😣",
52,thx for catching on <hashtag> u rock </hashtag>,1,,"<hashtag>,</hashtag>"
53,<user> <user> is giving you a chance to win <number> <hashtag> go supersonic </hashtag> <hashtag> goa </hashtag> passes . follow them for more details . <hashtag> super day lineup </hashtag>,0,,"<hashtag>,<number>,</hashtag>,<user>"
54,"i am also going to enjoy two beers , while sitting in my car . that is illegal . what was done to me at <allcaps> usc </allcaps> medical , and at penn mar , is .",0,,"</allcaps>,<allcaps>"
55,i ' d rather you know and be upset than hide it for you to only question things later,0,,
56,does not convey what i want though . <hashtag> twitter problems for me </hashtag>,0,,"<hashtag>,</hashtag>"
57,worked both jobs between <time> and <time> w <number> minutes between jobs . already planned to sleep immediately after work tomorrow .,0,,"<number>,<time>"
58,<hashtag> pick </hashtag> <hashtag> up </hashtag> <hashtag> line z </hashtag> to use boy when u smile its like the sun girl awe boy because ur teeth are so yellow,0,,"<hashtag>,</hashtag>"
59,nerd <hashtag> pic collage </hashtag> having a bit of fun with georgia <hashtag> nerd </hashtag> <hashtag> chistmas </hashtag> <hashtag> silly billy </hashtag> chilling on my comfy . <repeated> <url>,0,,"<hashtag>,<url>,</hashtag>,<repeated>"
60,<allcaps> you </allcaps> blame him for everything else <user> <user> <user> <user> <user> <user> <user>,0,,"</allcaps>,<allcaps>,<user>"
61,what a joke . thanks for the detailed response and communication with your customers . <user> <user>,1,,<user>
62,"facebook owner , mark zuckerberg , says dislike to creating a dislike button <url>",0,,<url>
63,women getting hit on by married managers at <user> cracks me up <hashtag> hypocrites </hashtag> <hashtag> practice what you preach </hashtag>,1,,"<hashtag>,</hashtag>,<user>"
64,<user> actually cropped out her daughter in this pic for a selfie 🙈 <hashtag> top mum </hashtag> <url>,1,🙈,"<hashtag>,<url>,</hashtag>,<user>"
65,drinking an imperial <allcaps> ipa </allcaps> <number> by <user> <url> <hashtag> photo </hashtag>,0,,"<url>,</allcaps>,<allcaps>,</hashtag>,<user>,<hashtag>,<number>"
66,going to my class <hashtag> fuck you </hashtag> important,0,,"<hashtag>,</hashtag>"
67,<user> you ' d really want to watch that ! <repeated> <hashtag> excessive com sumption </hashtag> !,1,,"<hashtag>,</hashtag>,<repeated>,<user>"
68,happy new year to me <elongated> . <repeated> <url>,0,,"<url>,<elongated>,<repeated>"
69,"<user> i guess the picture will answer it . still , answer <number> above and beyond . <hashtag> quiksilver goes supersonic </hashtag> <url>",0,,"<url>,</hashtag>,<user>,<hashtag>,<number>"
70,<user> was just about to say that 😂,0,😂,<user>
